Fecha_prueba|Matricula|Temp_Amb|Humr_Amb|Marca|Modelo|Cilindraje|Combustible|Kilometraje|Fecha_ITV|CDA|Temp_motor|RPM_motor|HC|CO|CO2|O2|RPM_Cru|HC_Cru|CO_Cru|CO2_Cru|O2_Cru
2021-11-30 10:43:00|1757 DIJ|18.1|46.8|MARCA 5|2014|1086|GNV_gasolina|616009.0|2021-01-19|EMPRESA J|54.0|800|113|0.79|10.1|1.5|2640|99|0.93|10.79|1.7
2021-09-20 10:02:14|0262 IVA|20.3|51.1|MARCA 4|2013|1086|GNV_gasolina|67841.0|2020-11-18|EMPRESA F|60.0|790|17|0.15|14.88|0.06|2590|22|0.18|14.8|0.04
2021-09-20 15:05:38|9116 NJC|22.9|41.0|MARCA 2|2006|1000|Gasolina|410671.2456140351|2021-07-21|EMPRESA I|60.0|880|1|0.12|13.9|0.07|2460|5|0.12|13.8|0.35
2021-11-30 10:59:28|2318 UPB|23.5|49.9|MARCA 5|1998|3900|GNV_gasolina|21267.0|2021-12-02|EMPRESA H|100.0|810|107|0.71|13.2|1.07|2630|51|0.76|13.3|0.81
2021-11-30 09:19:46|2524 DJU|20.7|41.3|MARCA 2|2006|2400|GNV_gasolina|46942.0|2021-03-06|EMPRESA C|60.0|1010|34|0.32|13.6|0.7|2290|5|0.28|13.77|0.45
2021-10-26 16:18:03|8348 EGV|20.1|50.2|MARCA 5|2020|1998|Gasolina|63923.0|2021-09-10|EMPRESA H|60.0|750|15|0.02|11.85|0.29|2530|16|0.02|12.07|0.25
2021-10-28 15:07:29|7086 AJU|20.2|48.4|MARCA 3|2020|1998|GNV|63923.0|2021-09-10|EMPRESA H|60.0|750|4|0.02|14.4|0.06|2480|11|0.02|14.31|0.03
2021-11-16 10:27:46|8175 ONT|20.5|46.3|MARCA 2|2021|1998|GNV|2621.0|2021-09-10|EMPRESA B|60.0|760|0|0.02|11.88|0.18|2500|0|0.02|12.3|0.02
2021-11-16 11:28:10|4969 PUL|19.6|52.8|MARCA 3|2021|1998|GNV|22755.0|2021-09-11|EMPRESA F|60.0|760|2|0.01|11.84|0.17|2320|4|0.01|12.1|0.02
2021-11-16 14:48:58|0225 MSR|19.7|53.0|MARCA 3|2021|1998|Gasolina|22755.0|2021-09-11|EMPRESA A|52.0|730|0|0.02|14.44|0.05|2460|0|0.02|14.46|0.01
2021-11-30 09:36:54|3482 YTJ|18.8|47.4|MARCA 4|2013|2389|Gasolina|91008.0|2020-12-23|EMPRESA H|84.0|800|21|0.41|14.1|0.03|2390|0|0.56|14.06|0.04
2021-09-03 00:00:00|7715 KJY|20.7|40.8|MARCA 3|2019|999|Gasolina|52380.0|2021-01-25|EMPRESA J|87.0|882|58|0.28|11.9|3.2|2540|126|0.27|12.2|1.2
2021-09-08 00:00:00|0713 YFJ|20.6|41.2|MARCA 5|2005|999|Gasolina|388800.0|2020-12-08|EMPRESA E|70.0|915|112|0.41|14.7|3.5|2575|62|0.28|10.7|1.4
2021-09-07 00:00:00|9181 CBP|20.9|52.1|MARCA 3|2019|1400|GNV_gasolina|50220.0|2021-04-17|EMPRESA B|76.0|813|131|0.4|12.4|1.7|2322|143|0.39|15.4|3.0
2021-09-30 00:00:00|2144 MEE|21.5|55.4|MARCA 5|2004|999|GNV|440640.0|2020-11-28|EMPRESA G|82.0|801|104|0.1|14.1|3.8|2580|89|0.37|10.3|3.8
2021-09-02 00:00:00|1799 NZH|21.9|41.2|MARCA 1|2009|1400|GNV|327240.0|2020-11-27|EMPRESA C|81.0|801|107|0.41|11.5|3.9|2453|87|0.48|15.5|1.6
2021-09-22 00:00:00|1213 RGP|19.0|45.5|MARCA 2|2002|1200|Gasolina|497610.0|2021-01-10|EMPRESA F|83.0|856|90|0.28|14.2|3.4|2510|117|0.17|12.9|3.7
2021-09-10 00:00:00|6549 ZUC|21.0|43.7|MARCA 2|2018|1200|Gasolina|79380.0|2021-02-10|EMPRESA C|76.0|865|83|0.4|15.3|1.2|2612|51|0.41|12.0|2.4
2021-09-25 00:00:00|8118 JUB|19.8|44.3|MARCA 4|2012|999|Gasolina|228420.0|2021-04-23|EMPRESA I|74.0|857|129|0.31|13.8|3.3|2313|100|0.41|15.6|2.9
2021-09-19 00:00:00|3836 YJC|19.1|53.6|MARCA 3|2018|999|GNV|76950.0|2020-12-18|EMPRESA J|74.0|882|68|0.27|14.3|2.9|2696|127|0.45|10.6|3.4
2021-09-30 00:00:00|6922 JEJ|20.0|47.3|MARCA 2|2019|1200|GNV|59400.0|2020-12-20|EMPRESA D|86.0|910|81|0.49|14.5|2.2|2482|117|0.43|11.6|1.5
2021-09-18 00:00:00|2514 ZGW|22.7|43.6|MARCA 1|2005|1200|Gasolina|470880.0|2021-04-03|EMPRESA G|74.0|841|137|0.14|12.4|3.8|2313|70|0.32|15.7|2.3
2021-09-03 00:00:00|1489 CIL|18.5|40.0|MARCA 4|2011|1200|GNV_gasolina|278100.0|2021-01-17|EMPRESA E|79.0|854|54|0.46|11.2|1.9|2435|146|0.23|12.2|3.0
2021-09-06 00:00:00|2940 GMN|22.0|51.6|MARCA 5|2017|999|GNV_gasolina|100440.0|2021-04-06|EMPRESA H|88.0|939|70|0.42|13.3|1.6|2493|128|0.13|13.0|3.6
2021-09-09 00:00:00|0159 MDK|21.3|44.9|MARCA 2|2015|999|GNV_gasolina|160380.0|2021-02-18|EMPRESA E|71.0|915|54|0.13|10.3|3.5|2633|66|0.44|13.3|3.9
2021-09-04 00:00:00|1184 OKD|18.6|51.7|MARCA 5|2021|999|GNV_gasolina|14788.0|2020-11-28|EMPRESA B|83.0|918|150|0.22|14.2|3.2|2543|89|0.17|12.1|1.4
